species	species_id_method	strain	isotype	previous_names	release	source_lab	latitude	longitude	elevation	landscape	locality_description	substrate	substrate_comments	substrate_temp	ambient_temp	ambient_humidity	associated_organism	inbreeding_status	sampled_by	isolated_by	sampling_date	sampling_date_comment	notes	strain_set	issues	issue_notes	isotype_ref_strain	sequenced
Caenorhabditis elegans	ITS2	ECA2367	ECA2367	S-11629	20210121	ECA	20.72333333	-156.3045271	1637.0	Forest	Maui	Rotting_flower	Flower	3.9	7.0	87.9	None	None	E. Andersen	C. Dilks	2019-12-07	None	None	None	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2375	ECA2377	S-12213	20210121	ECA	19.114519	-155.82031	620.0	Forest	Hawaii, Big Island, Manuka Nature Trail	Vegetal_litter/mix	Leaf litter	19.4	22.7	71.0	None	None	G. Zhang	R. Tanny	2019-12-10	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2377	ECA2377	S-12214	20210121	ECA	19.114519	-155.82031	620.0	Forest	Hawaii, Big Island, Manuka Nature Trail	Vegetal_litter/mix	Leaf litter	19.4	22.7	71.0	None	None	G. Zhang	R. Tanny	2019-12-10	None	ECA_clean	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2401	ECA2473	S-12238	20210121	ECA	19.721786	-155.94735	1040.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit, Tree 1	18.5	20.9	81.8	None	None	C. Dilks	N. Roberto	2019-12-11	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2403	ECA2473	S-12239	20210121	ECA	19.721786	-155.94735	1040.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit, Tree 1	18.5	20.9	81.8	None	None	C. Dilks	N. Roberto	2019-12-11	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2405	ECA2473	S-12241	20210121	ECA	19.721786	-155.94735	1040.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit, Tree 1	18.5	20.9	81.8	None	None	C. Dilks	N. Roberto	2019-12-11	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2413	ECA2417	S-12265	20210121	ECA	19.719706	-155.94864	1005.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit	18.2	20.8	81.8	None	None	C. Dilks	N. Roberto	2019-12-11	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2415	ECA2417	S-12266	20210121	ECA	19.719706	-155.94864	1005.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit	18.2	20.8	81.8	None	None	C. Dilks	N. Roberto	2019-12-11	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2417	ECA2417	S-12267	20210121	ECA	19.719706	-155.94864	1005.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit	18.2	20.8	81.8	None	None	C. Dilks	N. Roberto	2019-12-11	None	ECA_clean	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2419	ECA2417	S-12268	20210121	ECA	19.719706	-155.94864	1005.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit	18.2	20.8	81.8	None	None	C. Dilks	N. Roberto	2019-12-11	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2421	ECA2417	S-12269	20210121	ECA	19.719706	-155.94864	1005.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit	18.2	20.8	81.8	None	None	C. Dilks	N. Roberto	2019-12-11	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2423	ECA2417	S-12270	20210121	ECA	19.719706	-155.94864	1005.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit	18.2	20.8	81.8	None	None	C. Dilks	N. Roberto	2019-12-11	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2429	ECA1281	S-12285	20210121	ECA	19.719953	-155.94858	1008.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit	17.7	22.9	69.1	None	None	C. Dilks	E. Andersen	2019-12-11	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	None	ECA243	CB4851	CB4851_(CGC)|CB4851_CGC|CB4851|N62	20160408	CGC	44.85	0.48	18.0	Urban_garden	Aquitaine	Soil	soil	None	None	None	None	None	V. Nigon	V. Nigon	None	None	Isolated before 1949, kept in the laboratory of J. Brun for many years, N62 culture named and frozen by S. Brenner, same culture at RW7000. Tc1 pattern HCB.	2	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2431	ECA1281	S-12286	20210121	ECA	19.719953	-155.94858	1008.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit	17.7	22.9	69.1	None	None	C. Dilks	E. Andersen	2019-12-11	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2433	ECA1281	S-12287	20210121	ECA	19.719953	-155.94858	1008.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit	17.7	22.9	69.1	None	None	C. Dilks	E. Andersen	2019-12-11	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2435	ECA1281	S-12288	20210121	ECA	19.719953	-155.94858	1008.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit	17.7	22.9	69.1	None	None	C. Dilks	E. Andersen	2019-12-11	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2437	ECA2437	S-12289	20210121	ECA	19.719953	-155.94858	1008.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit	17.7	22.9	69.1	None	None	C. Dilks	E. Andersen	2019-12-11	None	ECA_clean	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2439	ECA1281	S-12297	20210121	ECA	19.720094	-155.94873	1005.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit	18.2	22.3	71.0	None	None	C. Dilks	E. Andersen	2019-12-11	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2443	ECA2443	S-12314	20210121	ECA	19.720022	-155.9484	1012.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_flower	Flower	20.2	21.33	83.1	None	None	C. Dilks	R. Tanny	2019-12-11	None	ECA_clean	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2445	ECA2443	S-12315	20210121	ECA	19.720022	-155.9484	1012.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_flower	Flower	20.2	21.33	83.1	None	None	C. Dilks	R. Tanny	2019-12-11	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	None	ECA245	CB4853	CB4853_(CGC)|CB4853_CGC|GA12	20160408	CGC	34.171	-118.131	314.0	Urban_garden	California	Vegetal_litter/mix	vegetable garden	None	None	None	None	None	C. Johnson	None	1974-05-01	None	Low copy Tc1; pattern III	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2452	ECA2452	S-12320	20210121	ECA	19.119975	-155.81961	657.0	Forest	Hawaii, Big Island, Manuka Nature Trail	Rotting_nut/pod/seed/fruit	Fruit	20.2	24.7	63.4	None	None	G. Zhang	R. Tanny	2019-12-10	None	ECA_dirty	10	False	None	True	True
Caenorhabditis elegans	None	ECA246	CB4853	CB4853_(UK)|CB4853_UK|CB4853|GA12	20160408	CB	34.189	-118.131	407.0	Urban_garden	California	Vegetal_litter/mix	vegetable garden	None	None	None	None	None	C. Johnson	None	1974-05-01	None	Low copy Tc1; pattern III	1	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2467	ECA2467	S-12457	20210121	ECA	19.114675	-155.82014	622.0	Forest	Hawaii, Big Island, Manuka Nature Trail	Rotting_nut/pod/seed/fruit	Fruit	20.1	22.6	72.3	None	None	G. Zhang	L. Stinson	2019-12-10	None	ECA_clean	10	False	None	True	True
Caenorhabditis elegans	None	ECA247	CB4858	CB4855_(CGC)|CB4855_CGC|Cal-5|Sta-5	20160408	CGC	37.43	-122.13	6.0	Urban_garden	California	Compost	compost heap	None	None	None	None	None	T. Doniach	None	1982-01-01	None	Low copy Tc1, pattern VI	None	False	None	False	False
Caenorhabditis elegans	ITS2	ECA2473	ECA2473	S-12479	20210121	ECA	19.721806	-155.94736	1040.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit, Tree 1	17.8	21.2	81.6	None	None	C. Dilks	L. Stinson	2019-12-11	None	ECA_clean	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2475	ECA2475	S-12516	20210121	ECA	20.041372	-155.44355	638.0	Forest	Hawaii, Big Island, Kalopa State Recreation Area	Rotting_nut/pod/seed/fruit	Fruit	20.8	22.2	86.0	None	None	G. Zhang	R. Tanny	2019-12-11	None	ECA_clean	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2477	ECA2475	S-12528	20210121	ECA	20.041372	-155.44355	638.0	Forest	Hawaii, Big Island, Kalopa State Recreation Area	Rotting_nut/pod/seed/fruit	Fruit	20.8	22.2	86.0	None	None	G. Zhang	R. Tanny	2019-12-11	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2479	ECA2475	S-12543	20210121	ECA	20.041372	-155.44355	638.0	Forest	Hawaii, Big Island, Kalopa State Recreation Area	Rotting_nut/pod/seed/fruit	Fruit	20.8	22.2	86.0	None	None	G. Zhang	R. Tanny	2019-12-11	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	None	ECA248	CB4855	CB4855_(UK)|CB4855_UK|CB4855|Cal-5|Sta-5	20160408	CB	37.44	-122.14	8.0	Urban_garden	California	Compost	compost heap	None	None	None	None	None	T. Doniach	None	1982-01-01	None	Low copy Tc1, pattern VI	2	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2481	ECA2481	S-12544	20210121	ECA	19.120458	-155.81953	663.0	Forest	Hawaii, Big Island, Manuka Nature Trail	Rotting_nut/pod/seed/fruit	Fruit	20.4	24.5	62.8	None	None	G. Zhang	R. Tanny	2019-12-10	None	ECA_clean	None	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2482	ECA2482	S-12551	20210121	ECA	19.721806	-155.94736	1040.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit, Tree 1	17.8	21.2	81.6	None	None	C. Dilks	L. Stinson	2019-12-11	None	ECA_dirty	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2485	ECA2475	S-12588	20210121	ECA	20.041372	-155.44355	638.0	Forest	Hawaii, Big Island, Kalopa State Recreation Area	Rotting_nut/pod/seed/fruit	Fruit	20.8	22.2	86.0	None	None	G. Zhang	R. Tanny	2019-12-11	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2487	ECA2475	S-12592	20210121	ECA	20.041372	-155.44355	638.0	Forest	Hawaii, Big Island, Kalopa State Recreation Area	Rotting_nut/pod/seed/fruit	Fruit	20.8	22.2	86.0	None	None	G. Zhang	R. Tanny	2019-12-11	None	ECA_clean	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2489	ECA2489	S-12604	20210121	ECA	19.721789	-155.94734	1040.0	Forest	Hawaii, Big Island, Kaloko Loop Trial	Rotting_nut/pod/seed/fruit	Fruit, Tree 1	19.4	21.0	82.5	None	None	C. Dilks	T. Crombie	2019-12-11	None	ECA_clean	10	False	None	True	True
Caenorhabditis elegans	None	ECA249	CB4857	CB4857_(CGC)|CB4857_CGC|CB4857|Cl2a	20160408	CB	34.096	-117.719	355.0	None	California	Fungus	rotting mushroom	None	None	None	None	None	E. Hedgecock	None	1972-11-01	None	Low copy Tc1, pattern II	None	False	None	False	True
Caenorhabditis elegans	None	ECA250	CB4857	CB4857_(UK)|CB4857_UK|Cl2a	20160408	CB	34.096	-117.719	355.0	None	California	Fungus	rotting mushroom	None	None	None	None	None	E. Hedgecock	None	1972-11-01	None	Low copy Tc1, pattern II	3	False	None	True	True
Caenorhabditis elegans	None	ECA251	CB4858	CB4858_(CGC)|CB4858_CGC|CB4858|PA1	20160408	CGC	34.1	-118.1	132.0	Urban_garden	California	Rotting_flower	flower bed	None	None	None	None	None	E. Hedgecock	None	1973-06-01	None	this is a stock of PA1 that was sent to the Emmons lab and found to have a low Tc1copy number (as compared to CB4555). CB4858 strain from CGC, different by WGS than CB version of CB4858	1	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2521	ECA2533	S-12561	20210121	ECA	34.0651714	-118.4414709	116.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	13.6	17.83333333	22.3	None	None	E. Andersen	E. Andersen	2020-02-05	None	Fulcrum collection 2020FebruaryUCLA	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2522	ECA2522	S-12614	20210121	ECA	34.0651806	-118.4414881	117.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	12.4	17.11111111	25.2	None	None	E. Andersen	E. Andersen	2020-02-05	None	Fulcrum collection 2020FebruaryUCLA	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2523	ECA2523	S-12625	20210121	ECA	34.0651117	-118.4415998	117.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	11.1	16.44444444	23.2	None	None	E. Andersen	E. Andersen	2020-02-05	None	Fulcrum collection 2020FebruaryUCLA	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2524	ECA2523	S-12626	20210121	ECA	34.0651117	-118.4415998	117.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	11.1	16.44444444	23.2	None	None	E. Andersen	E. Andersen	2020-02-05	None	Fulcrum collection 2020FebruaryUCLA	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2525	ECA2533	S-12628	20210121	ECA	34.065186	-118.4416029	118.0	Botanical_garden_or_zoo	None	Rotting_flower	None	11.9	17.83333333	24.2	None	None	E. Andersen	E. Andersen	2020-02-05	None	Fulcrum collection 2020FebruaryUCLA	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2526	ECA2536	S-12669	20210121	ECA	34.0651806	-118.4414881	117.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	12.4	17.11111111	25.2	None	None	E. Andersen	E. Andersen	2020-02-05	None	Fulcrum collection 2020FebruaryUCLA	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2527	ECA2527	S-12677	20210121	ECA	34.0651806	-118.4414881	117.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	12.4	17.11111111	25.2	None	None	E. Andersen	E. Andersen	2020-02-05	None	Fulcrum collection 2020FebruaryUCLA	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2528	ECA2527	S-12678	20210121	ECA	34.0651806	-118.4414881	117.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	12.4	17.11111111	25.2	None	None	E. Andersen	E. Andersen	2020-02-05	None	Fulcrum collection 2020FebruaryUCLA	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2529	ECA2529	S-12682	20210121	ECA	34.065216	-118.4414922	117.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	10.6	17.11111111	26.2	None	None	E. Andersen	E. Andersen	2020-02-05	None	Fulcrum collection 2020FebruaryUCLA	10	False	None	True	True
Caenorhabditis elegans	None	ECA253	N2	N2_(CGC)|N2_CGC|N2	20160408	CGC	51.45	-2.59	9.0	Urban_garden	England	Compost	mushroom compost	None	None	None	None	None	W. Nicholas	L. Staniland	1951-01-01	None	None	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2532	ECA2533	S-12732	20210121	ECA	34.065186	-118.4416029	118.0	Botanical_garden_or_zoo	None	Rotting_flower	None	11.9	17.83333333	24.2	None	None	E. Andersen	E. Andersen	2020-02-05	None	Fulcrum collection 2020FebruaryUCLA	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2533	ECA2533	S-12733	20210121	ECA	34.065186	-118.4416029	118.0	Botanical_garden_or_zoo	None	Rotting_flower	None	11.9	17.83333333	24.2	None	None	E. Andersen	E. Andersen	2020-02-05	None	Fulcrum collection 2020FebruaryUCLA	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2534	ECA2533	S-12734	20210121	ECA	34.065186	-118.4416029	118.0	Botanical_garden_or_zoo	None	Rotting_flower	None	11.9	17.83333333	24.2	None	None	E. Andersen	E. Andersen	2020-02-05	None	Fulcrum collection 2020FebruaryUCLA	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2535	ECA2536	S-12771	20210121	ECA	34.0651806	-118.4414881	117.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	12.4	17.11111111	25.2	None	None	E. Andersen	E. Andersen	2020-02-05	None	Fulcrum collection 2020FebruaryUCLA	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2536	ECA2536	S-12772	20210121	ECA	34.0651806	-118.4414881	117.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	12.4	17.11111111	25.2	None	None	E. Andersen	E. Andersen	2020-02-05	None	Fulcrum collection 2020FebruaryUCLA	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2537	ECA2533	S-12728	20210121	ECA	34.0651714	-118.4414709	116.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	13.6	17.83333333	22.3	None	None	E. Andersen	E. Andersen	2020-02-05	None	Fulcrum collection 2020FebruaryUCLA	None	False	None	False	True
Caenorhabditis elegans	None	ECA254	N2	N2_Baer|N2_Baer|N2|N2Baer	20160408	CFB	51.45	-2.59	9.0	Urban_garden	England	Compost	mushroom compost	None	None	None	None	None	W. Nicholas	L. Staniland	1951-01-01	None	None	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2546	ECA2546	S-12454	20210121	ECA	-38.15055556	144.3788889	21.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	15.5	17.4	69.7	None	None	L. Stevens	C. Buchanan	2020-02-20	None	Fulcrum collection 2020FebruaryAustralia	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2547	ECA2546	S-12456	20210121	ECA	-38.15055556	144.3788889	21.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	15.5	17.4	69.7	None	None	L. Stevens	C. Buchanan	2020-02-20	None	Fulcrum collection 2020FebruaryAustralia	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2548	ECA2672	S-12482	20210121	ECA	-37.8701549	144.9824148	10.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	19.0	20.8	64.4	None	None	L. Stevens	C. Buchanan	2020-02-22	None	Fulcrum collection 2020FebruaryAustralia	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2549	ECA2549	S-12485	20210121	ECA	-37.8699364	144.9838814	10.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	18.0	21.5	62.5	None	None	L. Stevens	C. Buchanan	2020-02-22	None	Fulcrum collection 2020FebruaryAustralia	10	False	None	True	True
Caenorhabditis elegans	None	ECA255	N2	N2_Baer_duplicate_#1|N2	20160408	CFB	51.45	-2.59	9.0	Urban_garden	England	Compost	mushroom compost	None	None	None	None	None	W. Nicholas	None	1951-01-01	None	None	None	False	None	False	False
Caenorhabditis elegans	ITS2	ECA2550	ECA2551	S-12486	20210121	ECA	-37.8699364	144.9838814	10.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	18.0	21.5	62.5	None	None	L. Stevens	C. Buchanan	2020-02-22	None	Fulcrum collection 2020FebruaryAustralia	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2551	ECA2551	S-12487	20210121	ECA	-37.8699364	144.9838814	10.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	18.0	21.5	62.5	None	None	L. Stevens	C. Buchanan	2020-02-22	None	Fulcrum collection 2020FebruaryAustralia	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2552	ECA2672	S-12493	20210121	ECA	-37.8701549	144.9824148	10.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	19.0	20.8	64.4	None	None	L. Stevens	C. Buchanan	2020-02-22	None	Fulcrum collection 2020FebruaryAustralia	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2553	ECA2551	S-12577	20210121	ECA	-37.8699364	144.9838814	10.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	18.0	21.5	62.5	None	None	L. Stevens	C. Buchanan	2020-02-22	None	Fulcrum collection 2020FebruaryAustralia	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2554	ECA2554	S-12611	20210121	ECA	-37.8700328	144.983856	10.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	18.0	22.2	59.5	None	None	L. Stevens	C. Buchanan	2020-02-22	None	Fulcrum collection 2020FebruaryAustralia	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2555	ECA2555	S-12743	20210121	ECA	-37.8700328	144.983856	10.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	18.0	22.2	59.5	None	None	L. Stevens	C. Buchanan	2020-02-22	None	Fulcrum collection 2020FebruaryAustralia	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2556	ECA2559	S-12781	20210121	ECA	-37.87	144.9836111	10.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	17.8	22.2	60.9	None	None	L. Stevens	C. Buchanan	2020-02-22	None	Fulcrum collection 2020FebruaryAustralia	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2557	ECA2559	S-12789	20210121	ECA	-37.87	144.9836111	10.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	17.8	22.2	60.9	None	None	L. Stevens	C. Buchanan	2020-02-22	None	Fulcrum collection 2020FebruaryAustralia	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2558	ECA2609	S-12791	20210121	ECA	-38.15	144.3791667	24.0	Botanical_garden_or_zoo	None	Rotting_flower	None	15.5	18.1	66.8	None	None	L. Stevens	C. Buchanan	2020-02-20	None	Fulcrum collection 2020FebruaryAustralia	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2559	ECA2559	S-12809	20210121	ECA	-37.87	144.9836111	10.0	Botanical_garden_or_zoo	None	Rotting_nut/pod/seed/fruit	None	17.8	22.2	60.9	None	None	L. Stevens	C. Buchanan	2020-02-22	None	Fulcrum collection 2020FebruaryAustralia	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2560	ECA2560	S-12848	20210121	ECA	-37.82444444	145.4433333	247.0	Agricultural_land	None	Rotting_nut/pod/seed/fruit	None	17.2	21.5	52.6	None	None	L. Stevens	C. Buchanan	2020-02-21	None	Fulcrum collection 2020FebruaryAustralia	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2561	ECA2561	S-12856	20210121	ECA	-37.8269983	144.9798563	5.0	Botanical_garden_or_zoo	None	Rotting_flower	None	22.3	26.2	58.5	None	None	E. Andersen	C. Buchanan	2020-02-16	None	Fulcrum collection 2020FebruaryAustralia	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2562	ECA2565	S-12882	20210121	ECA	-37.82472222	145.4427778	253.0	Agricultural_land	None	Rotting_nut/pod/seed/fruit	None	19.4	21.5	57.0	None	None	L. Stevens	C. Buchanan	2020-02-21	None	Fulcrum collection 2020FebruaryAustralia	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2563	ECA2565	S-12883	20210121	ECA	-37.82472222	145.4427778	253.0	Agricultural_land	None	Rotting_nut/pod/seed/fruit	None	19.4	21.5	57.0	None	None	L. Stevens	C. Buchanan	2020-02-21	None	Fulcrum collection 2020FebruaryAustralia	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2564	ECA2565	S-12884	20210121	ECA	-37.82472222	145.4427778	253.0	Agricultural_land	None	Rotting_nut/pod/seed/fruit	None	19.4	21.5	57.0	None	None	L. Stevens	C. Buchanan	2020-02-21	None	Fulcrum collection 2020FebruaryAustralia	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2565	ECA2565	S-12892	20210121	ECA	-37.82472222	145.4427778	253.0	Agricultural_land	None	Rotting_nut/pod/seed/fruit	None	19.4	21.5	57.0	None	None	L. Stevens	C. Buchanan	2020-02-21	None	Fulcrum collection 2020FebruaryAustralia	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2566	ECA2565	S-12898	20210121	ECA	-37.82472222	145.4427778	253.0	Agricultural_land	None	Rotting_nut/pod/seed/fruit	None	19.4	21.5	57.0	None	None	L. Stevens	C. Buchanan	2020-02-21	None	Fulcrum collection 2020FebruaryAustralia	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2567	ECA2565	S-12899	20210121	ECA	-37.82472222	145.4427778	253.0	Agricultural_land	None	Rotting_nut/pod/seed/fruit	None	19.4	21.5	57.0	None	None	L. Stevens	C. Buchanan	2020-02-21	None	Fulcrum collection 2020FebruaryAustralia	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2568	ECA2568	S-12902	20210121	ECA	-37.8223452	144.9736522	11.0	Botanical_garden_or_zoo	None	Vegetal_litter/mix	In tree nook	20.0	24.2	61.8	None	None	E. Andersen	C. Buchanan	2020-02-16	None	Fulcrum collection 2020FebruaryAustralia	10	False	None	True	True
Caenorhabditis elegans	ITS2	ECA2569	ECA2603	S-12904	20210121	ECA	-37.8223452	144.9736522	11.0	Botanical_garden_or_zoo	None	Vegetal_litter/mix	In tree nook	20.0	24.2	61.8	None	None	E. Andersen	C. Buchanan	2020-02-16	None	Fulcrum collection 2020FebruaryAustralia	None	False	None	False	True
Caenorhabditis elegans	None	ECA257	N2	Kammenga_N2_isolate|N2	20160408	WN	51.45	-2.59	9.0	Urban_garden	England	Compost	mushroom compost	None	None	None	None	None	W. Nicholas	None	1951-01-01	None	None	None	False	None	False	False
Caenorhabditis elegans	ITS2	ECA2570	ECA2561	S-12905	20210121	ECA	-37.8269983	144.9798563	5.0	Botanical_garden_or_zoo	None	Rotting_flower	None	22.3	26.2	58.5	None	None	E. Andersen	C. Buchanan	2020-02-16	None	Fulcrum collection 2020FebruaryAustralia	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2571	ECA2581	S-12927	20210121	ECA	-37.8253099	144.9768299	17.0	Botanical_garden_or_zoo	None	Vegetal_litter/mix	Millipedes	19.5	24.9	67.0	None	None	E. Andersen	C. Buchanan	2020-02-16	None	Fulcrum collection 2020FebruaryAustralia	None	False	None	False	True
Caenorhabditis elegans	ITS2	ECA2572	ECA2581	S-12929	20210121	ECA	-37.8253099	144.9768299	17.0	Botanical_garden_or_zoo	None	Vegetal_litter/mix	Millipedes	19.5	24.9	67.0	None	None	E. Andersen	C. Buchanan	2020-02-16	None	Fulcrum collection 2020FebruaryAustralia	None	False	None	False	True
